云南-电信,#genre#
辽宁卫视,http://106.59.3.66:55555/rtp/239.200.200.3:8224
陆丰,http://106.59.3.66:55555/rtp/239.200.200.163:8798
内蒙卫视,http://106.59.3.66:55555/rtp/239.200.200.57:8296
宁夏卫视,http://106.59.3.66:55555/rtp/239.200.200.60:8308
青海卫视,http://106.59.3.66:55555/rtp/239.200.200.58:8300
三沙卫视,http://106.59.3.66:55555/rtp/239.200.201.136:8140
山东教育,http://106.59.3.66:55555/rtp/239.200.201.77:8132
山东卫视,http://106.59.3.66:55555/rtp/239.200.200.168:8748
山西卫视,http://106.59.3.66:55555/rtp/239.200.200.56:8292
陕西卫视,http://106.59.3.66:55555/rtp/239.200.200.55:8288
深圳卫视,http://106.59.3.66:55555/rtp/239.200.200.67:8776
生态环境,http://106.59.3.66:55555/rtp/239.200.201.172:8648
书画世界,http://106.59.3.66:55555/rtp/239.200.201.133:8072
四川卫视,http://106.59.3.66:55555/rtp/239.200.200.43:8240
四海钓鱼,http://106.59.3.66:55555/rtp/239.200.201.171:8636
天津卫视,http://106.59.3.66:55555/rtp/239.200.200.69:1234
文物宝库,http://106.59.3.66:55555/rtp/239.200.200.96:8112
武术世界,http://106.59.3.66:55555/rtp/239.200.200.90:8064
西藏卫视,http://106.59.3.66:55555/rtp/239.200.200.61:8312
先锋乒羽,http://106.59.3.66:55555/rtp/239.200.201.33:4120
新动漫,http://106.59.3.66:55555/rtp/239.200.201.32:4120
新疆卫视,http://106.59.3.66:55555/rtp/239.200.200.62:8316
央广购物,http://106.59.3.66:55555/rtp/239.200.200.174:8772
优优宝贝,http://106.59.3.66:55555/rtp/239.200.201.173:8644
娱乐,http://106.59.3.66:55555/rtp/239.200.200.79:1234
浙江卫视,http://106.59.3.66:55555/rtp/239.200.200.35:8204
证券,http://106.59.3.66:55555/rtp/239.200.201.208:8688
中华美食,http://106.59.3.66:55555/rtp/239.200.201.45:8800
中华特产,http://106.59.3.66:55555/rtp/239.200.201.155:8124
重庆汽摩,http://106.59.3.66:55555/rtp/239.200.200.98:8052
重庆卫视,http://106.59.3.66:55555/rtp/239.200.200.49:8264
自然传奇,http://106.59.3.66:55555/rtp/239.200.200.80:1234

四川-电信,#genre#
四川卫视,http://171.213.175.149:1880/rtp/239.93.1.188:5140
四川康巴卫视,http://171.213.175.149:1880/rtp/239.93.0.41:5140
四川公共乡村,http://171.213.175.149:1880/rtp/239.93.0.52:5140
四川妇女儿童,http://171.213.175.149:1880/rtp/239.93.0.219:5140
四川影视文艺,http://171.213.175.149:1880/rtp/239.93.1.195:5140
四川文化旅游,http://171.213.175.149:1880/rtp/239.93.1.20:5140
四川新闻,http://171.213.175.149:1880/rtp/239.93.0.47:5140
四川经济,http://171.213.175.149:1880/rtp/239.93.1.16:5140
峨眉电影,http://171.213.175.149:1880/rtp/239.93.1.18:5140
凤凰中文,http://171.213.175.149:1880/rtp/239.93.1.9:2192
凤凰资讯,http://171.213.175.149:1880/rtp/239.93.1.4:2191
星空,http://171.213.175.149:1880/rtp/239.93.1.10:2193
CHANNEL-V,http://171.213.175.149:1880/rtp/239.93.1.7:2194
CCTV-1高清,http://171.213.175.149:1880/rtp/239.93.0.184:5140
CCTV-2高清,http://171.213.175.149:1880/rtp/239.93.1.23:6000
